full_name,name,parent-location,GEOID,eviction-rate,poverty-rate,rent-burden,pct-renter-occupied,Program1Slope,Program2Slope,Program3Slope,5YearTrend,5YearTrendNum
Floyd County-Georgia,Floyd County,Georgia,13115,7.55,16.37,30.6,39.26,0.25,0.286,0.211,down,-1
Forsyth County-Georgia,Forsyth County,Georgia,13117,1.28,5.03,27.9,15.85,0.25,0.286,0.211,down,-1
Franklin County-Georgia,Franklin County,Georgia,13119,3.24,17.23,30.7,30.43,0.25,0.286,0.211,up,1
Fulton County-Georgia,Fulton County,Georgia,13121,5.23,12.98,30.2,48.25,0.25,0.286,0.222,down,-1
Gilmer County-Georgia,Gilmer County,Georgia,13123,1.47,15.24,33.3,23.64,0.25,0.286,0.211,up,1
Glascock County-Georgia,Glascock County,Georgia,13125,1.11,13.71,21.6,26.05,0.25,0.267,0.211,up,1
Glynn County-Georgia,Glynn County,Georgia,13127,2.17,14.71,29.6,39,0.25,0.286,0.211,down,-1
Gordon County-Georgia,Gordon County,Georgia,13129,4.58,17.48,29.4,34.56,0.25,0.286,0.211,up,1
Gwinnett County-Georgia,Gwinnett County,Georgia,13135,4.66,11.27,32.1,33.64,0.25,0.286,0.211,down,-1
Habersham County-Georgia,Habersham County,Georgia,13137,1.88,12.27,30.1,25.13,0.25,0.286,0.211,up,1
Hancock County-Georgia,Hancock County,Georgia,13141,0.21,25.05,34.1,21.74,0.33,0.286,0.211,up,1
Haralson County-Georgia,Haralson County,Georgia,13143,3.56,16.94,30.5,29.57,0.25,0.286,0.211,down,-1
Hart County-Georgia,Hart County,Georgia,13147,1.14,18.01,30.6,26.67,0.25,0.286,0.211,down,-1
Heard County-Georgia,Heard County,Georgia,13149,5.23,16.71,34.8,27.28,0.25,0.286,0.211,up,1
Henry County-Georgia,Henry County,Georgia,13151,6.15,10.44,30,27.1,0.25,0.286,0.211,down,-1
Houston County-Georgia,Houston County,Georgia,13153,8.8,14.18,29.5,34.71,0.25,0.286,0.211,down,-1
Jackson County-Georgia,Jackson County,Georgia,13157,3.08,11.25,29.2,23.02,0.25,0.286,0.211,up,1
Jasper County-Georgia,Jasper County,Georgia,13159,4.07,14.88,34.8,27.04,0.25,0.286,0.211,down,-1
Jeff Davis County-Georgia,Jeff Davis County,Georgia,13161,2.15,16.61,25.2,24.24,0.25,0.286,0.211,down,-1
Jefferson County-Georgia,Jefferson County,Georgia,13163,0.49,25.26,35.5,35.23,0.33,0.286,0.211,up,1
Jenkins County-Georgia,Jenkins County,Georgia,13165,0.17,30.92,43.9,34.11,0.5,0.4,0.211,down,-1
Jones County-Georgia,Jones County,Georgia,13169,0.25,13.42,31,19.16,0.25,0.286,0.211,down,-1
Lamar County-Georgia,Lamar County,Georgia,13171,0.17,17.86,31.8,30.06,0.25,0.286,0.211,up,1
Laurens County-Georgia,Laurens County,Georgia,13175,5.49,22.17,35.1,36.35,0.33,0.286,0.211,up,1
Lee County-Georgia,Lee County,Georgia,13177,2.5,9.81,29.2,28.4,0.25,0.286,0.211,up,1
Liberty County-Georgia,Liberty County,Georgia,13179,2.46,14.96,30.8,52.55,0.25,0.286,0.222,down,-1
Long County-Georgia,Long County,Georgia,13183,1.95,15.86,29.4,36,0.25,0.286,0.211,up,1
Lumpkin County-Georgia,Lumpkin County,Georgia,13187,2.54,10.8,35.7,35.07,0.25,0.286,0.211,down,-1
McDuffie County-Georgia,McDuffie County,Georgia,13189,3.44,21.89,35.2,36.59,0.33,0.286,0.211,up,1
McIntosh County-Georgia,McIntosh County,Georgia,13191,0.39,16.46,29.6,22.36,0.25,0.286,0.211,up,1
Macon County-Georgia,Macon County,Georgia,13193,1.68,24.86,34.9,38.64,0.33,0.286,0.211,down,-1
Madison County-Georgia,Madison County,Georgia,13195,3.91,12.62,28,27.77,0.25,0.286,0.211,up,1
Morgan County-Georgia,Morgan County,Georgia,13211,1.02,12.59,26.6,22.33,0.25,0.286,0.211,down,-1
Murray County-Georgia,Murray County,Georgia,13213,4.32,17.2,31.9,32.4,0.25,0.286,0.211,up,1
Newton County-Georgia,Newton County,Georgia,13217,7.9,13.22,32.5,29.85,0.25,0.286,0.211,down,-1
Oconee County-Georgia,Oconee County,Georgia,13219,1.79,5.01,24.6,20.43,0.25,0.267,0.211,down,-1
Oglethorpe County-Georgia,Oglethorpe County,Georgia,13221,2.51,11.64,30.1,24.79,0.25,0.286,0.211,up,1
Paulding County-Georgia,Paulding County,Georgia,13223,9.2,10.5,31.2,20.97,0.25,0.286,0.211,down,-1
Pickens County-Georgia,Pickens County,Georgia,13227,2.16,8.61,29.3,23.03,0.25,0.286,0.211,up,1
Pierce County-Georgia,Pierce County,Georgia,13229,1.86,18.94,29,25.27,0.25,0.286,0.211,down,-1
Pike County-Georgia,Pike County,Georgia,13231,0.08,9.98,28.5,16.32,0.25,0.286,0.211,down,-1
Polk County-Georgia,Polk County,Georgia,13233,3.88,16.6,28.9,32.75,0.25,0.286,0.211,down,-1
Pulaski County-Georgia,Pulaski County,Georgia,13235,2.4,16.46,31.4,39.3,0.25,0.286,0.211,up,1
Putnam County-Georgia,Putnam County,Georgia,13237,3.72,10.48,29.8,26.67,0.25,0.286,0.211,up,1
Rabun County-Georgia,Rabun County,Georgia,13241,2.76,14.18,37.1,26.51,0.25,0.286,0.211,up,1
Randolph County-Georgia,Randolph County,Georgia,13243,0.42,25.12,29.8,39.05,0.33,0.286,0.211,up,1
Rockdale County-Georgia,Rockdale County,Georgia,13247,7.44,13.65,34.2,31.12,0.25,0.286,0.211,down,-1
Schley County-Georgia,Schley County,Georgia,13249,0.16,18.43,25.4,35.5,0.25,0.286,0.211,down,-1
Screven County-Georgia,Screven County,Georgia,13251,0.06,19.79,29.6,29.75,0.25,0.286,0.211,down,-1
Spalding County-Georgia,Spalding County,Georgia,13255,5.4,17.94,35,38.62,0.25,0.286,0.211,down,-1
Stephens County-Georgia,Stephens County,Georgia,13257,3.02,12.6,29.2,28.05,0.25,0.286,0.211,down,-1
Talbot County-Georgia,Talbot County,Georgia,13263,1.02,16.11,29.2,19.62,0.25,0.286,0.211,up,1
Tattnall County-Georgia,Tattnall County,Georgia,13267,0.55,23.13,24.2,30.82,0.33,0.267,0.211,down,-1
Taylor County-Georgia,Taylor County,Georgia,13269,0.17,25.05,23.2,29.75,0.33,0.267,0.211,down,-1
Telfair County-Georgia,Telfair County,Georgia,13271,0.06,22.71,26.1,40.37,0.33,0.286,0.222,down,-1
Thomas County-Georgia,Thomas County,Georgia,13275,0.03,19.53,33.2,40.06,0.25,0.286,0.222,down,-1
Tift County-Georgia,Tift County,Georgia,13277,5.82,22.84,26.8,41.94,0.33,0.286,0.222,up,1
Towns County-Georgia,Towns County,Georgia,13281,0.27,12.06,34.8,20.08,0.25,0.286,0.211,down,-1
Troup County-Georgia,Troup County,Georgia,13285,5.85,17.24,31.8,42.12,0.25,0.286,0.222,down,-1
Twiggs County-Georgia,Twiggs County,Georgia,13289,0.13,21.12,35.2,22.6,0.33,0.286,0.211,up,1
Union County-Georgia,Union County,Georgia,13291,0.09,9.55,29.4,21.16,0.25,0.286,0.211,down,-1
Upson County-Georgia,Upson County,Georgia,13293,0.15,18.88,32.6,36.31,0.25,0.286,0.211,down,-1
Walker County-Georgia,Walker County,Georgia,13295,4.61,13.7,28.6,28.07,0.25,0.286,0.211,down,-1
Walton County-Georgia,Walton County,Georgia,13297,3.27,10.53,32.2,26.84,0.25,0.286,0.211,down,-1
Ware County-Georgia,Ware County,Georgia,13299,2.59,23.39,31.1,35.72,0.33,0.286,0.211,down,-1
Washington County-Georgia,Washington County,Georgia,13303,2.32,20.66,32.9,30.17,0.33,0.286,0.211,down,-1
Wayne County-Georgia,Wayne County,Georgia,13305,1.55,16.62,29.3,31.61,0.25,0.286,0.211,up,1
Wheeler County-Georgia,Wheeler County,Georgia,13309,0.3,27.29,28.2,36.93,0.33,0.286,0.211,down,-1
White County-Georgia,White County,Georgia,13311,5.86,13.35,32.9,26.18,0.25,0.286,0.211,down,-1
Whitfield County-Georgia,Whitfield County,Georgia,13313,3.28,14.47,29,35.67,0.25,0.286,0.211,down,-1
Wilcox County-Georgia,Wilcox County,Georgia,13315,1.22,18.93,36.4,28.08,0.25,0.286,0.211,up,1
Wilkes County-Georgia,Wilkes County,Georgia,13317,1.15,22.55,36.8,29.23,0.33,0.286,0.211,up,1
Worth County-Georgia,Worth County,Georgia,13321,1.06,16.5,33,26.25,0.25,0.286,0.211,up,1
Hawaii County-Hawaii,Hawaii County,Hawaii,15001,0.35,14.15,33.5,33.57,0.25,0.286,0.211,up,1
Maui County-Hawaii,Maui County,Hawaii,15009,0.46,7.68,30.8,42.35,0.25,0.286,0.222,up,1
Adair County-Iowa,Adair County,Iowa,19001,0.25,6.2,22.9,23.07,0.25,0.267,0.211,down,-1
Allamakee County-Iowa,Allamakee County,Iowa,19005,0.99,7.15,22.5,22.6,0.25,0.267,0.211,up,1
Appanoose County-Iowa,Appanoose County,Iowa,19007,1.86,7.9,26.6,27.51,0.25,0.286,0.211,up,1
Benton County-Iowa,Benton County,Iowa,19011,1.27,6.7,26,18.77,0.25,0.286,0.211,up,1
Black Hawk County-Iowa,Black Hawk County,Iowa,19013,3.82,9.05,30.5,32.54,0.25,0.286,0.211,up,1
Boone County-Iowa,Boone County,Iowa,19015,1.33,5.41,26.1,24.58,0.25,0.286,0.211,down,-1
Bremer County-Iowa,Bremer County,Iowa,19017,1.08,5.02,25,19.24,0.25,0.286,0.211,up,1
Buchanan County-Iowa,Buchanan County,Iowa,19019,1.47,6.61,25.5,20.46,0.25,0.286,0.211,up,1
Butler County-Iowa,Butler County,Iowa,19023,0.55,5.72,20.5,20.14,0.25,0.267,0.211,down,-1
Calhoun County-Iowa,Calhoun County,Iowa,19025,0.11,10.73,29.3,23.16,0.25,0.286,0.211,up,1
Carroll County-Iowa,Carroll County,Iowa,19027,0.69,7.43,28.1,25.33,0.25,0.286,0.211,up,1
Cass County-Iowa,Cass County,Iowa,19029,1.05,10.31,25.7,28.83,0.25,0.286,0.211,up,1
Cedar County-Iowa,Cedar County,Iowa,19031,0.7,4.28,22,20.16,0.25,0.267,0.211,down,-1
Cerro Gordo County-Iowa,Cerro Gordo County,Iowa,19033,2.09,9.33,27.5,28.96,0.25,0.286,0.211,up,1
Chickasaw County-Iowa,Chickasaw County,Iowa,19037,0.84,5.76,25.3,21.95,0.25,0.286,0.211,down,-1
Clarke County-Iowa,Clarke County,Iowa,19039,1.8,13.44,30.3,30.24,0.25,0.286,0.211,up,1
Clay County-Iowa,Clay County,Iowa,19041,0.49,8.16,24.5,25.51,0.25,0.267,0.211,down,-1
Clayton County-Iowa,Clayton County,Iowa,19043,0.69,7.5,23.9,21.58,0.25,0.267,0.211,down,-1
Clinton County-Iowa,Clinton County,Iowa,19045,2.95,11.01,29.1,26.35,0.25,0.286,0.211,up,1
Crawford County-Iowa,Crawford County,Iowa,19047,0.49,13.98,25.3,24.88,0.25,0.286,0.211,up,1
Dallas County-Iowa,Dallas County,Iowa,19049,1.34,4.09,24.8,23.41,0.25,0.267,0.211,up,1
Davis County-Iowa,Davis County,Iowa,19051,0.43,13.69,26.2,20.7,0.25,0.286,0.211,down,-1
Decatur County-Iowa,Decatur County,Iowa,19053,0.68,13.62,27.7,32.95,0.25,0.286,0.211,up,1
Delaware County-Iowa,Delaware County,Iowa,19055,0.39,6.4,25.5,19.99,0.25,0.286,0.211,down,-1
Des Moines County-Iowa,Des Moines County,Iowa,19057,2,12.64,28.7,26.31,0.25,0.286,0.211,down,-1
Dickinson County-Iowa,Dickinson County,Iowa,19059,0.61,3.58,25.4,24.51,0.25,0.286,0.211,up,1
Dubuque County-Iowa,Dubuque County,Iowa,19061,2.32,7.81,29.8,27.57,0.25,0.286,0.211,up,1
Emmet County-Iowa,Emmet County,Iowa,19063,0.28,8.06,26.7,23.06,0.25,0.286,0.211,down,-1
Fayette County-Iowa,Fayette County,Iowa,19065,0.87,7.39,27.9,24.68,0.25,0.286,0.211,up,1
Floyd County-Iowa,Floyd County,Iowa,19067,0.81,8.67,26.6,28.02,0.25,0.286,0.211,up,1
Franklin County-Iowa,Franklin County,Iowa,19069,0.46,10.19,21.3,25.81,0.25,0.267,0.211,down,-1
Fremont County-Iowa,Fremont County,Iowa,19071,0.38,8.09,26.7,24.17,0.25,0.286,0.211,down,-1
Greene County-Iowa,Greene County,Iowa,19073,0.5,10.74,26.3,24.06,0.25,0.286,0.211,down,-1
Grundy County-Iowa,Grundy County,Iowa,19075,1.44,3.34,26.3,19.47,0.25,0.286,0.211,up,1
Guthrie County-Iowa,Guthrie County,Iowa,19077,0.33,8.1,26,19.49,0.25,0.286,0.211,down,-1
Hamilton County-Iowa,Hamilton County,Iowa,19079,1.34,7.54,25.8,30.06,0.25,0.286,0.211,up,1
Hancock County-Iowa,Hancock County,Iowa,19081,0.88,5.64,25.4,19.88,0.25,0.286,0.211,up,1
Hardin County-Iowa,Hardin County,Iowa,19083,0.96,5.28,21.4,24.47,0.25,0.267,0.211,up,1
Harrison County-Iowa,Harrison County,Iowa,19085,0.77,7.24,26.5,25.05,0.25,0.286,0.211,down,-1
Henry County-Iowa,Henry County,Iowa,19087,1.02,10.16,24.9,27.13,0.25,0.267,0.211,up,1
Howard County-Iowa,Howard County,Iowa,19089,1.87,7.49,31,20.43,0.25,0.286,0.211,up,1
Humboldt County-Iowa,Humboldt County,Iowa,19091,0.75,8.22,25.4,27.76,0.25,0.286,0.211,up,1
Ida County-Iowa,Ida County,Iowa,19093,0.25,10.23,19.4,24.8,0.25,0.267,0.211,down,-1
Iowa County-Iowa,Iowa County,Iowa,19095,1.73,5.22,21.3,21.95,0.25,0.267,0.211,up,1
Jackson County-Iowa,Jackson County,Iowa,19097,0.87,9,26.7,25.01,0.25,0.286,0.211,down,-1
Jasper County-Iowa,Jasper County,Iowa,19099,2.17,5.34,25.8,26.97,0.25,0.286,0.211,up,1
Jefferson County-Iowa,Jefferson County,Iowa,19101,1.23,8.06,26.5,33.49,0.25,0.286,0.211,up,1
Johnson County-Iowa,Johnson County,Iowa,19103,0.79,6.85,33.9,40.51,0.25,0.286,0.222,down,-1
Jones County-Iowa,Jones County,Iowa,19105,0.99,5.65,24.8,21.81,0.25,0.267,0.211,up,1
Keokuk County-Iowa,Keokuk County,Iowa,19107,1.95,9.05,27.7,22.36,0.25,0.286,0.211,up,1
Kossuth County-Iowa,Kossuth County,Iowa,19109,0.07,5.6,24.9,21.33,0.25,0.267,0.211,down,-1
Lee County-Iowa,Lee County,Iowa,19111,2.38,11.26,26.1,25.6,0.25,0.286,0.211,up,1
Linn County-Iowa,Linn County,Iowa,19113,2.92,6.25,27.3,26.39,0.25,0.286,0.211,down,-1
Louisa County-Iowa,Louisa County,Iowa,19115,1.52,8.83,20.1,22.2,0.25,0.267,0.211,up,1
Lucas County-Iowa,Lucas County,Iowa,19117,0.7,9.89,26.4,20.74,0.25,0.286,0.211,up,1
Lyon County-Iowa,Lyon County,Iowa,19119,0.71,5.5,18.2,17.22,0.25,0.267,0.211,up,1
Madison County-Iowa,Madison County,Iowa,19121,1.47,4.01,26.1,25.14,0.25,0.286,0.211,up,1
Mahaska County-Iowa,Mahaska County,Iowa,19123,1.22,9.93,24.3,29.74,0.25,0.267,0.211,up,1
Marion County-Iowa,Marion County,Iowa,19125,1.36,7.29,26.4,25.95,0.25,0.286,0.211,up,1
Marshall County-Iowa,Marshall County,Iowa,19127,2.82,7.12,23.8,27.53,0.25,0.267,0.211,up,1
Mills County-Iowa,Mills County,Iowa,19129,0.25,5.61,26.2,20,0.25,0.286,0.211,down,-1
Mitchell County-Iowa,Mitchell County,Iowa,19131,0.73,5.4,22.6,16.34,0.25,0.267,0.211,up,1
