,full_name,county,state,r2_adj,per_rmse,sig,r2_score,error_score,sig_score,overall_score,sampleSize,intercept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x1_c,x2_c,x3_c,x4_c,x5_c,x6_c,x7_c,x8_c,x9_c,x10_c,x11_c,x12_c,x13_c,x14_c
Yavapai County-Arizona,Yavapai County-Arizona,Yavapai County,Arizona,0.929687515,0.124231942,2.90E-10,1,1,3,5,17,-24.16403818,pct-white,,,,,,,,,,,,,,0.307807617,,,,,,,,,,,,,
Douglas County-Nevada,Douglas County-Nevada,Douglas County,Nevada,0.924546979,0.136112835,1.48E-06,1,1,3,5,11,-27.34460986,pct-white,,,,,,,,,,,,,,0.345042005,,,,,,,,,,,,,
Greenville County-South Carolina,Greenville County-South Carolina,Greenville County,South Carolina,0.923011512,0.016320135,0.005993985,1,1,3,5,5,5.888321755,renter-occupied-households,,,,,,,,,,,,,,-6.53E-05,,,,,,,,,,,,,
Newberry County-South Carolina,Newberry County-South Carolina,Newberry County,South Carolina,0.921343688,0.192212629,0.000382566,1,1,3,5,7,2.822886368,renter-occupied-households,,,,,,,,,,,,,,-0.000637846,,,,,,,,,,,,,
Churchill County-Nevada,Churchill County-Nevada,Churchill County,Nevada,0.919905091,0.164352245,5.20E-07,1,1,3,5,12,13.24023377,median-gross-rent,,,,,,,,,,,,,,-0.013818802,,,,,,,,,,,,,
Dooly County-Georgia,Dooly County-Georgia,Dooly County,Georgia,0.916933989,0.241318455,6.24E-07,1,1,3,5,12,-0.765063031,pct-multiple,,,,,,,,,,,,,,5.667728926,,,,,,,,,,,,,
Hampton County-South Carolina,Hampton County-South Carolina,Hampton County,South Carolina,0.911266407,0.10542373,0.007437292,1,1,3,5,5,-12.03639609,pct-hispanic,,,,,,,,,,,,,,4.095946355,,,,,,,,,,,,,
Deschutes County-Oregon,Deschutes County-Oregon,Deschutes County,Oregon,0.911205716,0.109639619,5.84E-09,1,1,3,5,16,5.603577564,renter-occupied-households,,,,,,,,,,,,,,-0.000179764,,,,,,,,,,,,,
Portage County-Wisconsin,Portage County-Wisconsin,Portage County,Wisconsin,0.909371274,0.209946894,3.39E-06,1,1,3,5,11,-1.469469976,pct-multiple,,,,,,,,,,,,,,1.707866164,,,,,,,,,,,,,
Campbell County-Tennessee,Campbell County-Tennessee,Campbell County,Tennessee,0.905130593,0.072845376,0.000173419,1,1,3,5,8,-27.12483191,renter-occupied-households,,,,,,,,,,,,,,0.006735167,,,,,,,,,,,,,
Lane County-Oregon,Lane County-Oregon,Lane County,Oregon,0.903009539,0.080200993,3.27E-09,1,1,3,5,17,7.888004793,renter-occupied-households,,,,,,,,,,,,,,-0.000102083,,,,,,,,,,,,,
Des Moines County-Iowa,Des Moines County-Iowa,Des Moines County,Iowa,0.902261891,0.087448278,1.15E-08,1,1,3,5,16,0.614148423,pct-am-ind,,,,,,,,,,,,,,14.00445269,,,,,,,,,,,,,
La Salle County-Illinois,La Salle County-Illinois,La Salle County,Illinois,0.901685772,0.112128669,0.033326745,1,1,3,5,4,-77.95908108,renter-occupied-households,,,,,,,,,,,,,,0.007202703,,,,,,,,,,,,,
Bay County-Florida,Bay County-Florida,Bay County,Florida,0.901451616,0.061158098,5.67E-05,1,1,3,5,9,-5.195955113,renter-occupied-households,,,,,,,,,,,,,,0.000290026,,,,,,,,,,,,,
Bossier Parish-Louisiana,Bossier Parish-Louisiana,Bossier Parish,Louisiana,0.899300053,0.031422618,0.002502199,1,1,3,5,6,-2.36058058,population,,,,,,,,,,,,,,4.25E-05,,,,,,,,,,,,,
Santa Fe County-New Mexico,Santa Fe County-New Mexico,Santa Fe County,New Mexico,0.896922613,0.074148499,0.000757957,1,1,3,5,7,6.264455323,renter-occupied-households,,,,,,,,,,,,,,-0.000258433,,,,,,,,,,,,,
Merced County-California,Merced County-California,Merced County,California,0.894843027,0.045925144,6.34E-07,1,1,3,5,13,4.873040388,poverty-rate,,,,,,,,,,,,,,-0.13868993,,,,,,,,,,,,,
Pike County-Georgia,Pike County-Georgia,Pike County,Georgia,0.889690581,0.47152374,8.65E-09,1,0,3,4,17,15.86296397,median-household-income,,,,,,,,,,,,,,-0.000300943,,,,,,,,,,,,,
Williamson County-Texas,Williamson County-Texas,Williamson County,Texas,0.889002059,0.136684715,8.76E-08,1,1,3,5,15,5.109791903,renter-occupied-households,,,,,,,,,,,,,,-7.41E-05,,,,,,,,,,,,,
Clackamas County-Oregon,Clackamas County-Oregon,Clackamas County,Oregon,0.885350765,0.151119348,1.16E-08,1,1,3,5,17,6.582485099,median-gross-rent,,,,,,,,,,,,,,-0.005512543,,,,,,,,,,,,,
Marshall County-West Virginia,Marshall County-West Virginia,Marshall County,West Virginia,0.882909628,0.069694255,0.000104443,1,1,3,5,9,-2.395267426,median-household-income,,,,,,,,,,,,,,0.000116876,,,,,,,,,,,,,
Edgecombe County-North Carolina,Edgecombe County-North Carolina,Edgecombe County,North Carolina,0.881337221,0.145728073,0.040369092,1,1,3,5,4,387.8301532,renter-occupied-households,,,,,,,,,,,,,,-0.050653506,,,,,,,,,,,,,
Pitt County-North Carolina,Pitt County-North Carolina,Pitt County,North Carolina,0.880027765,0.057655247,1.46E-07,1,1,3,5,15,18.96273558,renter-occupied-households,,,,,,,,,,,,,,-0.000382145,,,,,,,,,,,,,
Dane County-Wisconsin,Dane County-Wisconsin,Dane County,Wisconsin,0.872337797,0.088659541,7.55E-08,1,1,3,5,16,5.211310234,renter-occupied-households,,,,,,,,,,,,,,-4.98E-05,,,,,,,,,,,,,
Cook County-Georgia,Cook County-Georgia,Cook County,Georgia,0.871993235,0.260915007,4.81E-05,1,1,3,5,10,-18.38173916,renter-occupied-households,,,,,,,,,,,,,,0.009893614,,,,,,,,,,,,,
Charlottesville city-Virginia,Charlottesville city-Virginia,Charlottesville city,Virginia,0.871560756,0.094937776,2.73E-08,1,1,3,5,17,6.510212685,median-household-income,,,,,,,,,,,,,,-9.23E-05,,,,,,,,,,,,,
Story County-Iowa,Story County-Iowa,Story County,Iowa,0.870289369,0.117954873,8.44E-08,1,1,3,5,16,0.795522462,pct-other,,,,,,,,,,,,,,2.61608573,,,,,,,,,,,,,
Oconto County-Wisconsin,Oconto County-Wisconsin,Oconto County,Wisconsin,0.869882082,0.166636542,3.01E-08,1,1,3,5,17,-6.139999785,renter-occupied-households,,,,,,,,,,,,,,0.002744961,,,,,,,,,,,,,
Bryan County-Oklahoma,Bryan County-Oklahoma,Bryan County,Oklahoma,0.869666826,0.104958845,3.05E-08,1,1,3,5,17,-4.31187669,renter-occupied-households,,,,,,,,,,,,,,0.00135431,,,,,,,,,,,,,
Benton County-Oregon,Benton County-Oregon,Benton County,Oregon,0.869664406,0.09339584,8.74E-08,1,1,3,5,16,3.324251321,renter-occupied-households,,,,,,,,,,,,,,-0.000169613,,,,,,,,,,,,,
Clay County-Mississippi,Clay County-Mississippi,Clay County,Mississippi,0.859982432,0.117027223,0.001158061,1,1,3,5,9,-1.852918511,pct-other,renter-occupied-households,,,,,,,,,,,,,5.82420587,0.001695014,,,,,,,,,,,,
Penobscot County-Maine,Penobscot County-Maine,Penobscot County,Maine,0.858962036,0.090467776,1.53E-07,1,1,3,5,16,-0.377064177,pct-af-am,,,,,,,,,,,,,,3.688303328,,,,,,,,,,,,,
Yamhill County-Oregon,Yamhill County-Oregon,Yamhill County,Oregon,0.858797662,0.136875488,5.59E-08,1,1,3,5,17,7.179228462,renter-occupied-households,,,,,,,,,,,,,,-0.00051323,,,,,,,,,,,,,
Neshoba County-Mississippi,Neshoba County-Mississippi,Neshoba County,Mississippi,0.858199397,0.284939139,4.53E-07,1,1,3,5,17,-17.16523191,pct-white,pct-other,,,,,,,,,,,,,0.290209383,4.362985643,,,,,,,,,,,,
Harford County-Maryland,Harford County-Maryland,Harford County,Maryland,0.857300178,0.236260656,3.45E-06,1,1,3,5,13,-3.680753943,renter-occupied-households,,,,,,,,,,,,,,0.00021366,,,,,,,,,,,,,
Saluda County-South Carolina,Saluda County-South Carolina,Saluda County,South Carolina,0.85559132,0.090301862,0.000622383,1,1,3,5,8,-89.47031088,pct-hispanic,,,,,,,,,,,,,,6.468048359,,,,,,,,,,,,,
Escambia County-Alabama,Escambia County-Alabama,Escambia County,Alabama,0.85360617,0.168420935,5.66E-07,1,1,3,5,17,7.703772106,poverty-rate,rent-burden,,,,,,,,,,,,,-0.418452977,0.062616509,,,,,,,,,,,,
San Diego County-California,San Diego County-California,San Diego County,California,0.853343464,0.105793504,5.73E-07,1,1,3,5,17,7.415724256,pct-other,renter-occupied-households,,,,,,,,,,,,,2.600707447,-1.32E-05,,,,,,,,,,,,
Aiken County-South Carolina,Aiken County-South Carolina,Aiken County,South Carolina,0.850005281,0.137940016,0.000698839,1,1,3,5,8,-33.67852117,renter-occupied-households,,,,,,,,,,,,,,0.00212823,,,,,,,,,,,,,
Ouachita Parish-Louisiana,Ouachita Parish-Louisiana,Ouachita Parish,Louisiana,0.848673244,0.173994045,1.29E-05,1,1,3,5,12,-0.38,pct-nh-pi,,,,,,,,,,,,,,67.31818182,,,,,,,,,,,,,
Lauderdale County-Alabama,Lauderdale County-Alabama,Lauderdale County,Alabama,0.84536405,0.148149548,5.40E-06,1,1,3,5,13,-1.822572996,median-gross-rent,,,,,,,,,,,,,,0.005254997,,,,,,,,,,,,,
Erie County-Ohio,Erie County-Ohio,Erie County,Ohio,0.844281156,0.180453774,1.17E-07,1,1,3,5,17,-1.79063235,pct-hispanic,,,,,,,,,,,,,,1.499814256,,,,,,,,,,,,,
Dawson County-Georgia,Dawson County-Georgia,Dawson County,Georgia,0.843441645,0.212807309,0.000293028,1,1,3,5,9,8.508151365,pct-asian,,,,,,,,,,,,,,-14.12003722,,,,,,,,,,,,,
Scott County-Indiana,Scott County-Indiana,Scott County,Indiana,0.841515263,0.270725468,1.34E-07,1,1,3,5,17,17.54022695,renter-occupied-households,,,,,,,,,,,,,,-0.005996167,,,,,,,,,,,,,
Tangipahoa Parish-Louisiana,Tangipahoa Parish-Louisiana,Tangipahoa Parish,Louisiana,0.840819323,0.131661217,3.59E-07,1,1,3,5,16,5.565393869,poverty-rate,,,,,,,,,,,,,,-0.215849822,,,,,,,,,,,,,
Crawford County-Georgia,Crawford County-Georgia,Crawford County,Georgia,0.83951769,0.390065926,1.47E-07,1,0,3,4,17,21.36958205,median-property-value,,,,,,,,,,,,,,-0.000234392,,,,,,,,,,,,,
Oxford County-Maine,Oxford County-Maine,Oxford County,Maine,0.839026425,0.134597968,1.00E-06,1,1,3,5,15,-5.921855091,renter-occupied-households,,,,,,,,,,,,,,0.00132328,,,,,,,,,,,,,
Bay County-Michigan,Bay County-Michigan,Bay County,Michigan,0.837135051,0.049544189,1.65E-07,1,1,3,5,17,23.15105553,pct-renter-occupied,,,,,,,,,,,,,,-0.771335131,,,,,,,,,,,,,
Henderson County-Tennessee,Henderson County-Tennessee,Henderson County,Tennessee,0.832716362,0.28417328,1.44E-06,1,1,3,5,17,5.968237624,median-gross-rent,pct-other,,,,,,,,,,,,,-0.009654037,12.83516841,,,,,,,,,,,,
Hood County-Texas,Hood County-Texas,Hood County,Texas,0.831413616,0.310458731,2.14E-07,1,1,3,5,17,5.756460919,renter-occupied-households,,,,,,,,,,,,,,-0.001088571,,,,,,,,,,,,,
Coahoma County-Mississippi,Coahoma County-Mississippi,Coahoma County,Mississippi,0.831248102,0.124191742,5.42E-07,1,1,3,5,16,3.659441978,pct-hispanic,,,,,,,,,,,,,,-1.407378071,,,,,,,,,,,,,
Lee County-Mississippi,Lee County-Mississippi,Lee County,Mississippi,0.829806397,0.144872704,2.30E-07,1,1,3,5,17,-8.835263452,renter-occupied-households,,,,,,,,,,,,,,0.001123007,,,,,,,,,,,,,
Wood County-Ohio,Wood County-Ohio,Wood County,Ohio,0.828610782,0.141910422,4.14E-06,1,1,3,5,16,-12.29986864,population,pct-other,,,,,,,,,,,,,0.000102097,10.93070241,,,,,,,,,,,,
Marion County-Oregon,Marion County-Oregon,Marion County,Oregon,0.825824159,0.16286158,2.74E-07,1,1,3,5,17,11.52647051,rent-burden,,,,,,,,,,,,,,-0.323235763,,,,,,,,,,,,,
Linn County-Oregon,Linn County-Oregon,Linn County,Oregon,0.824676297,0.181928727,7.11E-07,1,1,3,5,16,16.06249316,renter-occupied-households,,,,,,,,,,,,,,-0.000860948,,,,,,,,,,,,,
Washington County-Rhode Island,Washington County-Rhode Island,Washington County,Rhode Island,0.824515126,0.047412803,0.001129517,1,1,3,5,8,0.707764601,pct-hispanic,,,,,,,,,,,,,,0.354266913,,,,,,,,,,,,,
Luna County-New Mexico,Luna County-New Mexico,Luna County,New Mexico,0.82433424,0.125419415,1.17E-05,1,1,3,5,15,-3.93265505,median-property-value,renter-occupied-households,,,,,,,,,,,,,3.38E-05,0.001097392,,,,,,,,,,,,
Dougherty County-Georgia,Dougherty County-Georgia,Dougherty County,Georgia,0.824285482,0.195717949,0.001134052,1,1,3,5,8,-25.40019146,median-property-value,,,,,,,,,,,,,,0.000367224,,,,,,,,,,,,,
Knox County-Illinois,Knox County-Illinois,Knox County,Illinois,0.821529592,0.134900525,0.003064993,1,1,3,5,7,-7.126868024,median-household-income,,,,,,,,,,,,,,0.00022981,,,,,,,,,,,,,
Huron County-Ohio,Huron County-Ohio,Huron County,Ohio,0.816725204,0.111742576,3.53E-05,1,1,3,5,14,-11.81769241,pct-renter-occupied,rent-burden,,,,,,,,,,,,,0.328989703,0.21502634,,,,,,,,,,,,
Arlington County-Virginia,Arlington County-Virginia,Arlington County,Virginia,0.81656723,0.155426253,0.001293828,1,1,3,5,8,3.866309593,median-household-income,,,,,,,,,,,,,,-2.89E-05,,,,,,,,,,,,,
Finney County-Kansas,Finney County-Kansas,Finney County,Kansas,0.814844029,0.105377863,0.001133382,1,1,3,5,10,-0.120175546,poverty-rate,pct-am-ind,,,,,,,,,,,,,-0.201853778,13.66466557,,,,,,,,,,,,
Forsyth County-Georgia,Forsyth County-Georgia,Forsyth County,Georgia,0.814644028,0.166471611,8.81E-05,1,1,3,5,11,12.83641434,renter-occupied-households,,,,,,,,,,,,,,-0.001009389,,,,,,,,,,,,,
Hennepin County-Minnesota,Hennepin County-Minnesota,Hennepin County,Minnesota,0.813563464,0.2731452,1.10E-06,1,1,3,5,16,9.143476579,pct-hispanic,,,,,,,,,,,,,,-1.185497395,,,,,,,,,,,,,
San Francisco County-California,San Francisco County-California,San Francisco County,California,0.813185447,0.135199826,4.66E-07,1,1,3,5,17,4.837054341,renter-occupied-households,,,,,,,,,,,,,,-1.95E-05,,,,,,,,,,,,,
Parmer County-Texas,Parmer County-Texas,Parmer County,Texas,0.812196329,0.504503622,3.24E-06,1,0,3,4,17,-0.013261729,median-property-value,pct-af-am,,,,,,,,,,,,,7.33E-06,-0.352120241,,,,,,,,,,,,
Fairfield County-South Carolina,Fairfield County-South Carolina,Fairfield County,South Carolina,0.810942279,0.257620282,0.003552745,1,1,3,5,7,-60.40711486,renter-occupied-households,,,,,,,,,,,,,,0.025022288,,,,,,,,,,,,,
Blair County-Pennsylvania,Blair County-Pennsylvania,Blair County,Pennsylvania,0.808254274,0.128698368,3.74E-06,1,1,3,5,17,14.3665924,pct-renter-occupied,pct-nh-pi,,,,,,,,,,,,,-0.47060159,51.34888543,,,,,,,,,,,,
East Baton Rouge Parish-Louisiana,East Baton Rouge Parish-Louisiana,East Baton Rouge Parish,Louisiana,0.806175027,0.105180101,6.17E-07,1,1,3,5,17,-0.794657785,median-gross-rent,,,,,,,,,,,,,,0.008008016,,,,,,,,,,,,,
Jefferson County-Kentucky,Jefferson County-Kentucky,Jefferson County,Kentucky,0.805782443,0.054978017,4.09E-06,1,1,3,5,17,18.92103667,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,-0.059019478,-8.90E-05,,,,,,,,,,,,
Polk County-Oregon,Polk County-Oregon,Polk County,Oregon,0.805567783,0.092170904,4.13E-06,1,1,3,5,17,6.066137746,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,-0.094381674,-0.000128859,,,,,,,,,,,,
Jasper County-Mississippi,Jasper County-Mississippi,Jasper County,Mississippi,0.804216322,0.415937129,4.33E-06,1,0,3,4,17,49.992062,poverty-rate,pct-af-am,,,,,,,,,,,,,-0.10143042,-0.901301713,,,,,,,,,,,,
Hancock County-West Virginia,Hancock County-West Virginia,Hancock County,West Virginia,0.804131369,0.186125182,0.025040976,1,1,3,5,5,-26.53530616,renter-occupied-households,,,,,,,,,,,,,,0.007712891,,,,,,,,,,,,,
Trumbull County-Ohio,Trumbull County-Ohio,Trumbull County,Ohio,0.802645931,0.119806339,7.07E-07,1,1,3,5,17,-4.799136838,pct-asian,,,,,,,,,,,,,,15.40137957,,,,,,,,,,,,,
Randolph County-West Virginia,Randolph County-West Virginia,Randolph County,West Virginia,0.80028012,0.12551546,5.67E-05,1,1,3,5,14,-1.045170698,pct-other,renter-occupied-households,,,,,,,,,,,,,-20.56544919,0.001638704,,,,,,,,,,,,
Bourbon County-Kansas,Bourbon County-Kansas,Bourbon County,Kansas,0.799587135,0.281823346,0.001043833,1,1,3,5,12,4.772306519,pct-renter-occupied,pct-nh-pi,pct-multiple,,,,,,,,,,,,-0.2054377,-26.46719639,1.537710586,,,,,,,,,,,
Stone County-Mississippi,Stone County-Mississippi,Stone County,Mississippi,0.798257999,0.318500694,8.36E-07,1,1,3,5,17,-7.18754874,renter-occupied-households,,,,,,,,,,,,,,0.007706733,,,,,,,,,,,,,
Butte County-California,Butte County-California,Butte County,California,0.79703695,0.049184647,4.62E-06,1,1,3,5,15,3.426908116,pct-asian,,,,,,,,,,,,,,-0.442113323,,,,,,,,,,,,,
Mercer County-Pennsylvania,Mercer County-Pennsylvania,Mercer County,Pennsylvania,0.795618542,0.127976463,5.85E-06,1,1,3,5,17,6.70637144,pct-other,renter-occupied-households,,,,,,,,,,,,,-7.279915838,-0.000273724,,,,,,,,,,,,
Crawford County-Ohio,Crawford County-Ohio,Crawford County,Ohio,0.793928879,0.173852907,9.82E-07,1,1,3,5,17,-11.18315668,pct-renter-occupied,,,,,,,,,,,,,,0.466877362,,,,,,,,,,,,,
Ware County-Georgia,Ware County-Georgia,Ware County,Georgia,0.793228556,0.123076746,0.000791281,1,1,3,5,9,5.500142857,pct-nh-pi,,,,,,,,,,,,,,-66.72857143,,,,,,,,,,,,,
Hickman County-Tennessee,Hickman County-Tennessee,Hickman County,Tennessee,0.791605555,0.6209504,6.70E-06,1,0,3,4,17,10.22090317,population,pct-nh-pi,,,,,,,,,,,,,-0.000423408,41.46465607,,,,,,,,,,,,
Multnomah County-Oregon,Multnomah County-Oregon,Multnomah County,Oregon,0.791454384,0.164136498,1.08E-06,1,1,3,5,17,-20.50432461,pct-white,,,,,,,,,,,,,,0.304783033,,,,,,,,,,,,,
Morrow County-Oregon,Morrow County-Oregon,Morrow County,Oregon,0.79018351,0.289531667,1.13E-06,1,1,3,5,17,10.55477743,pct-hispanic,,,,,,,,,,,,,,-0.289167551,,,,,,,,,,,,,
Tompkins County-New York,Tompkins County-New York,Tompkins County,New York,0.788643563,0.531396873,7.40E-06,1,0,3,4,17,-0.449657021,median-property-value,pct-af-am,,,,,,,,,,,,,4.75E-07,0.11725556,,,,,,,,,,,,
Ada County-Idaho,Ada County-Idaho,Ada County,Idaho,0.787967801,0.159076366,7.57E-06,1,1,3,5,17,5.426075762,poverty-rate,renter-occupied-households,,,,,,,,,,,,,-0.288066684,-4.44E-05,,,,,,,,,,,,
Scott County-Iowa,Scott County-Iowa,Scott County,Iowa,0.787440351,0.072731389,7.24E-05,1,1,3,5,12,19.46979355,renter-occupied-households,,,,,,,,,,,,,,-0.000703737,,,,,,,,,,,,,
Newton County-Texas,Newton County-Texas,Newton County,Texas,0.787213054,0.483760528,7.76E-06,1,0,3,4,17,-1.565698727,pct-renter-occupied,pct-nh-pi,,,,,,,,,,,,,0.107911368,-0.190554335,,,,,,,,,,,,
Butler County-Kansas,Butler County-Kansas,Butler County,Kansas,0.786740469,0.144461161,1.44E-05,1,1,3,5,14,-6.688355997,renter-occupied-households,,,,,,,,,,,,,,0.001568786,,,,,,,,,,,,,
Platte County-Wyoming,Platte County-Wyoming,Platte County,Wyoming,0.786099861,0.505703722,8.05E-06,1,0,3,4,17,2.320062089,poverty-rate,pct-af-am,,,,,,,,,,,,,-0.159269007,-3.429877392,,,,,,,,,,,,
Coffee County-Alabama,Coffee County-Alabama,Coffee County,Alabama,0.785554645,0.263995632,1.33E-06,1,1,3,5,17,-3.325097776,renter-occupied-households,,,,,,,,,,,,,,0.000682185,,,,,,,,,,,,,
Washington County-Oregon,Washington County-Oregon,Washington County,Oregon,0.784676259,0.210744249,1.37E-06,1,1,3,5,17,4.357499499,pct-multiple,,,,,,,,,,,,,,-1.001704158,,,,,,,,,,,,,
Fannin County-Georgia,Fannin County-Georgia,Fannin County,Georgia,0.78352415,0.275402678,7.07E-06,1,1,3,5,15,4.528975013,pct-af-am,,,,,,,,,,,,,,-13.55525251,,,,,,,,,,,,,
Mathews County-Virginia,Mathews County-Virginia,Mathews County,Virginia,0.783115561,0.281867896,1.45E-06,1,1,3,5,17,-2.443076782,median-gross-rent,,,,,,,,,,,,,,0.005438756,,,,,,,,,,,,,
Norfolk County-Massachusetts,Norfolk County-Massachusetts,Norfolk County,Massachusetts,0.782314833,0.119490708,7.33E-06,1,1,3,5,15,-0.784989118,median-gross-rent,,,,,,,,,,,,,,0.001772032,,,,,,,,,,,,,
Durham County-North Carolina,Durham County-North Carolina,Durham County,North Carolina,0.782295157,0.144388946,8.18E-05,1,1,3,5,12,34.22804625,renter-occupied-households,,,,,,,,,,,,,,-0.000504113,,,,,,,,,,,,,
Campbell County-Kentucky,Campbell County-Kentucky,Campbell County,Kentucky,0.780325439,0.095258555,0.000953848,1,1,3,5,11,24.81850747,pct-nh-pi,renter-occupied-households,,,,,,,,,,,,,-4.318460793,-0.001763644,,,,,,,,,,,,
Grant County-New Mexico,Grant County-New Mexico,Grant County,New Mexico,0.77816038,0.125726331,8.31E-06,1,1,3,5,15,4.655424182,poverty-rate,,,,,,,,,,,,,,-0.17289829,,,,,,,,,,,,,
Clark County-Indiana,Clark County-Indiana,Clark County,Indiana,0.777969667,0.096880583,1.84E-05,1,1,3,5,14,-1.869649636,median-property-value,,,,,,,,,,,,,,6.21E-05,,,,,,,,,,,,,
Uintah County-Utah,Uintah County-Utah,Uintah County,Utah,0.777162502,0.43065491,2.28E-05,1,0,3,4,16,-1.854069192,pct-renter-occupied,pct-af-am,,,,,,,,,,,,,0.077517594,1.364333503,,,,,,,,,,,,
Stoddard County-Missouri,Stoddard County-Missouri,Stoddard County,Missouri,0.776884523,0.165600907,1.80E-06,1,1,3,5,17,-0.295184679,pct-hispanic,,,,,,,,,,,,,,1.430255699,,,,,,,,,,,,,
Bell County-Texas,Bell County-Texas,Bell County,Texas,0.775610248,0.06924418,1.88E-06,1,1,3,5,17,1.203847086,median-gross-rent,,,,,,,,,,,,,,0.004681951,,,,,,,,,,,,,
Crook County-Oregon,Crook County-Oregon,Crook County,Oregon,0.774494903,0.211304031,1.95E-06,1,1,3,5,17,8.613921062,median-gross-rent,,,,,,,,,,,,,,-0.009197809,,,,,,,,,,,,,
Allen County-Kentucky,Allen County-Kentucky,Allen County,Kentucky,0.7735104,0.261001581,2.53E-05,1,1,3,5,16,-4.141733214,pct-af-am,renter-occupied-households,,,,,,,,,,,,,1.172464336,0.002320591,,,,,,,,,,,,
Clinton County-New York,Clinton County-New York,Clinton County,New York,0.771889907,0.53788205,1.26E-05,1,0,3,4,17,-2.661437937,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,0.023949341,0.000203426,,,,,,,,,,,,
McLean County-Kentucky,McLean County-Kentucky,McLean County,Kentucky,0.771629703,0.43314843,2.15E-06,1,0,3,4,17,-0.491301231,pct-multiple,,,,,,,,,,,,,,1.573474277,,,,,,,,,,,,,
