Hour,Door,Assignment,Volume
6,35,7,
6,36,7,
6,37,7,
6,38,7,
6,39,0,
6,40,8,
6,41,8,
6,42,8,
6,43,8,
6,44,8,
6,45,6,
6,46,6,
6,47,0,
6,48,6,
6,49,6,
6,50,6,
6,51,14,
6,52,0,
6,53,14,
6,54,14,
6,55,10,
6,56,10,
6,57,10,
6,58,10,
6,59,0,
6,60,11,
6,61,11,
6,62,11,
6,63,11,
6,64,13,
6,65,0,
6,66,0,
6,67,0,
6,68,13,
6,69,13,
6,70,9,
6,71,9,
6,72,0,
6,73,12,
6,74,12,
6,75,12,
6,76,16,
6,77,16,
6,78,0,
6,79,16,
6,80,21,
6,81,21,
6,82,18,
6,83,18,
6,84,19,
6,85,19,
6,86,19,
6,87,15,
6,88,0,
6,89,15,
6,90,0,
6,91,0,
6,92,17,
6,93,17,
6,94,17,
6,95,17,
6,96,20,
6,97,0,
6,98,20,
6,99,20,
6,100,20,
6,1,0,
6,2,4,
6,3,4,
6,4,4,
6,5,2,
6,6,2,
6,7,2,
6,8,0,
6,9,0,
6,10,2,
6,11,2,
6,12,2,
6,13,3,
6,14,0,
6,15,3,
6,16,3,
6,17,1,
6,18,1,
6,19,1,
6,20,0,
6,21,5,
6,22,5,
6,23,5,
6,24,5,
6,25,0,
6,26,7,
6,27,0,
6,28,7,
6,29,7,
6,30,7,
6,31,7,
6,32,0,
6,33,0,
6,34,0,
6,35,6,
6,36,6,
6,37,6,
6,38,0,
6,39,6,
6,40,0,
6,41,6,
6,42,6,
6,43,8,
6,44,8,
6,45,0,
6,46,8,
6,47,0,
6,48,9,
6,49,9,
6,50,9,
6,51,0,
6,52,12,
6,53,12,
6,54,13,
6,55,0,
6,56,13,
6,57,13,
6,58,0,
6,59,10,
6,60,10,
6,61,10,
6,62,0,
6,63,10,
6,64,14,
6,65,14,
6,66,14,
6,67,0,
6,68,0,
6,69,11,
6,70,11,
6,71,0,
6,72,11,
6,73,11,
6,74,11,
6,75,0,
6,76,0,
6,77,0,
6,78,17,
6,79,17,
6,80,17,
6,81,0,
6,82,16,
6,83,16,
6,84,16,
6,85,21,
6,86,21,
6,87,0,
6,88,0,
6,89,18,
6,90,18,
6,91,18,
6,92,20,
6,93,0,
6,94,0,
6,95,0,
6,96,20,
6,97,15,
6,98,15,
6,99,19,
6,100,19,
6,1,4,
6,2,4,
6,3,4,
6,4,0,
6,5,1,
6,6,0,
6,7,0,
6,8,1,
6,9,1,
6,10,1,
6,11,2,
6,12,2,
6,13,2,
6,14,0,
6,15,2,
6,16,2,
6,17,2,
6,18,3,
6,19,3,
6,20,3,
6,21,0,
6,22,0,
6,23,3,
6,24,3,
6,25,3,
6,26,8,
6,27,8,
6,28,8,
6,29,8,
6,30,0,
6,31,8,
6,32,8,
6,33,8,
6,34,6,
6,35,6,
6,36,0,
6,37,6,
6,38,9,
6,39,9,
6,40,9,
6,41,9,
6,42,9,
6,43,0,
6,44,0,
6,45,5,
6,46,5,
6,47,5,
6,48,7,
6,49,7,
6,50,7,
6,51,0,
6,52,10,
6,53,10,
6,54,15,
6,55,15,
6,56,15,
6,57,0,
6,58,11,
6,59,11,
6,60,11,
6,61,12,
6,62,12,
6,63,0,
6,64,12,
6,65,12,
6,66,14,
6,67,0,
6,68,0,
6,69,14,
6,70,0,
6,71,14,
6,72,13,
6,73,13,
6,74,13,
6,75,13,
6,76,0,
6,77,0,
6,78,0,
6,79,18,
6,80,18,
6,81,0,
6,82,18,
6,83,0,
6,84,19,
6,85,19,
6,86,19,
6,87,0,
6,88,16,
6,89,0,
6,90,16,
6,91,16,
6,92,20,
6,93,20,
6,94,20,
6,95,0,
6,96,20,
6,97,17,
6,98,17,
6,99,17,
6,100,17,
6,1,0,
6,2,2,
6,3,2,
6,4,2,
6,5,2,
6,6,0,
6,7,3,
6,8,0,
6,9,3,
6,10,3,
6,11,3,
6,12,4,
6,13,4,
6,14,4,
6,15,1,
6,16,1,
6,17,1,
6,18,1,
6,19,5,
6,20,5,
6,21,5,
6,22,5,
6,23,5,
6,24,5,
6,25,0,
6,26,11,
6,27,11,
6,28,11,
6,29,11,
6,30,6,
6,31,6,
6,32,6,
6,33,6,
6,34,6,
6,35,8,
6,36,8,
6,37,8,
6,38,8,
6,39,10,
6,40,10,
6,41,10,
6,42,7,
6,43,7,
6,44,7,
6,45,7,
6,46,9,
6,47,9,
6,48,9,
6,49,9,
6,50,9,
6,51,13,
6,52,13,
6,53,13,
6,54,13,
6,55,15,
6,56,15,
6,57,15,
6,58,14,
6,59,14,
6,60,17,
6,61,17,
6,62,17,
6,63,18,
6,64,18,
6,65,16,
6,66,16,
6,67,16,
6,68,16,
6,69,12,
6,70,12,
6,71,12,
6,72,0,
6,73,12,
6,74,12,
6,75,12,
6,76,0,
6,77,24,
6,78,24,
6,79,20,
6,80,20,
6,81,21,
6,82,0,
6,83,0,
6,84,0,
6,85,21,
6,86,21,
6,87,22,
6,88,0,
6,89,22,
6,90,0,
6,91,22,
6,92,23,
6,93,23,
6,94,23,
6,95,23,
6,96,0,
6,97,0,
6,98,23,
6,99,19,
6,100,19,
